Opportunity_id,date,open,high,low,close,is_last_candle_of_found_pattern,is_buy_opportunity,is_sell_opportunity,succeeded,date_Buy,return_Buy,date_Sell,return_Sell,market,model,pair_name,entry_period,min_points,tolerance_points,profit_ratio,chosen_candle_date,chosen_candle_open,chosen_candle_high,chosen_candle_low,chosen_candle_close
Opportunity-1,2004-11-02,1.274,1.2755,1.2661,1.2739,1,0,0,1,2004-11-02,149.0,2005-01-28,149.0,Forex,Doji,EURUSD,3 days,149.0,5.0,3/1,2024-09-20 00:00:00,1.11614,1.11818,1.1136,1.11601
Opportunity-1,2004-11-03,1.2815,1.2829,1.2652,1.2822,0,1,0,1,2004-11-08,149.0,2005-01-31,149.0,,,,,,,,,,,,
Opportunity-1,2004-11-10,1.2898,1.3005,1.2847,1.2888,0,1,0,1,2004-11-09,149.0,2005-10-04,149.0,,,,,,,,,,,,
Opportunity-1,2004-11-11,1.2884,1.2918,1.2854,1.2899,0,1,0,1,2005-03-01,149.0,2008-08-04,149.0,,,,,,,,,,,,
Opportunity-1,2004-11-12,1.2906,1.2989,1.287,1.2979,0,1,0,1,2005-10-04,149.0,2008-09-18,149.0,,,,,,,,,,,,
Opportunity-1,2004-11-15,1.297,1.2998,1.2913,1.2943,0,1,0,1,2005-12-06,149.0,2009-02-13,149.0,,,,,,,,,,,,
Opportunity-1,2004-11-16,1.2963,1.2996,1.2917,1.2953,0,1,0,1,2006-12-25,149.0,2009-11-24,149.0,,,,,,,,,,,,
Opportunity-1,2004-11-19,1.297,1.3068,1.2934,1.3015,0,1,0,1,2007-11-09,149.0,2010-01-18,149.0,,,,,,,,,,,,
Opportunity-1,2004-11-23,1.3035,1.3105,1.297,1.3084,0,1,0,1,2008-01-23,149.0,2011-05-03,149.0,,,,,,,,,,,,
Opportunity-1,2004-11-29,1.3266,1.3302,1.3224,1.3274,0,1,0,1,2008-04-08,149.0,2011-12-06,149.0,,,,,,,,,,,,
Opportunity-1,2004-11-30,1.3273,1.3334,1.3229,1.3281,0,1,0,1,2009-02-13,149.0,2011-12-22,149.0,,,,,,,,,,,,
Opportunity-1,2004-12-02,1.3315,1.3381,1.3234,1.3265,0,1,0,1,2009-08-25,149.0,2012-04-30,149.0,,,,,,,,,,,,
Opportunity-2,2004-11-08,1.2913,1.2984,1.2903,1.2914,1,0,0,1,2010-07-16,149.0,2012-08-07,149.0,,,,,,,,,,,,
Opportunity-2,2004-11-10,1.2898,1.3005,1.2847,1.2888,0,1,0,1,2012-08-07,149.0,2013-04-12,149.0,,,,,,,,,,,,
Opportunity-2,2004-11-11,1.2884,1.2918,1.2854,1.2899,0,1,0,1,2013-04-12,149.0,2013-08-19,149.0,,,,,,,,,,,,
Opportunity-2,2004-11-12,1.2906,1.2989,1.287,1.2979,0,1,0,1,2013-04-19,149.0,2014-08-14,149.0,,,,,,,,,,,,
Opportunity-2,2004-11-15,1.297,1.2998,1.2913,1.2943,0,1,0,1,2013-05-24,149.0,2015-03-03,149.0,,,,,,,,,,,,
Opportunity-2,2004-11-16,1.2963,1.2996,1.2917,1.2953,0,1,0,1,2013-07-15,149.0,2016-06-06,149.0,,,,,,,,,,,,
Opportunity-2,2004-11-19,1.297,1.3068,1.2934,1.3015,0,1,0,1,2015-04-21,149.0,2016-09-28,149.0,,,,,,,,,,,,
Opportunity-2,2004-11-23,1.3035,1.3105,1.297,1.3084,0,1,0,1,2017-04-20,149.0,2016-10-05,149.0,,,,,,,,,,,,
Opportunity-2,2004-11-29,1.3266,1.3302,1.3224,1.3274,0,1,0,1,2017-07-05,149.0,2017-12-04,149.0,,,,,,,,,,,,
Opportunity-2,2004-11-30,1.3273,1.3334,1.3229,1.3281,0,1,0,1,2017-11-21,149.0,2018-07-04,149.0,,,,,,,,,,,,
